Timestamp,ElapsedTime,OtdrMode,SampleMode,MeasureMode,SampleSpacing,MeasureLength_m,PulseWidth_ns_set,PulseWidth_ns_parse,Lambda_nm,MeasureTime_s,SampleTimes,nGIR,NonReflectThreshold,EndThreshold,DataNum,EventNum,EventList,TotalDistance,TotalLoss,EndLoss,TotalReflectLoss
2026.06.25-14:24:06,48s,1,PrecisonMode,Manual,0.0125 usec,80017,1000,1000 ns,1310.0 nm,30,30s,1.467000,0.050 dB,5.000 dB,31332,1,"{'num events': 1, 'event 1': {'type': '119999LS {auto} reflection', 'distance': '0.000', 'slope': '0.000', 'splice loss': '0.000', 'refl loss': '0.000', 'comments': ' ', 'end of prev': '0.000', 'start of curr': '0.000', 'end of curr': '0.409', 'start of next': '2.963', 'peak': '0.000'}, 'Summary': {'total loss': 0.0, 'ORL': 0.0, 'loss start': 0.0, 'loss end': 0.0, 'ORL start': 0.0, 'ORL finish': 0.0}}",None km,0.0,0.0,0.0
2026.06.25-15:00:23,50s,1,PrecisonMode,Manual,0.0125 usec,80000,1000,1000 ns,1310.0 nm,30,30s,1.467000,0.050 dB,5.000 dB,31325,1,"{'num events': 1, 'event 1': {'type': '119999LS {auto} reflection', 'distance': '0.000', 'slope': '0.000', 'splice loss': '0.000', 'refl loss': '0.000', 'comments': ' ', 'end of prev': '0.000', 'start of curr': '0.000', 'end of curr': '0.409', 'start of next': '2.963', 'peak': '0.000'}, 'Summary': {'total loss': 0.0, 'ORL': 0.0, 'loss start': 0.0, 'loss end': 0.0, 'ORL start': 0.0, 'ORL finish': 0.0}}",None km,0.0,0.0,0.0
2026.06.25-15:15:38,47s,1,PrecisonMode,Manual,0.0125 usec,80017,1000,1000 ns,1310.0 nm,30,30s,1.467000,0.050 dB,5.000 dB,31332,2,"{'num events': 2, 'event 1': {'type': '119999LS {auto} reflection', 'distance': '0.000', 'slope': '0.000', 'splice loss': '0.000', 'refl loss': '0.000', 'comments': ' ', 'end of prev': '0.000', 'start of curr': '0.000', 'end of curr': '0.409', 'start of next': '1.793', 'peak': '0.000'}, 'event 2': {'type': '0E9999LS {auto} loss/drop/gain', 'distance': '1.793', 'slope': '0.700', 'splice loss': '7.499', 'refl loss': '-100.000', 'comments': ' ', 'end of prev': '0.409', 'start of curr': '1.793', 'end of curr': '2.202', 'start of next': '4.756', 'peak': '1.793'}, 'Summary': {'total loss': 1.255, 'ORL': 0.0, 'loss start': 0.0, 'loss end': 0.002554, 'ORL start': 0.0, 'ORL finish': 0.0}}",1.793 km,1.255,0.002554,0.0
2026.06.25-16:24:45,6s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,8129,,,,,,
2026.06.25-16:24:47,8s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,8129,,,,,,
2026.06.25-16:24:49,10s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,8129,,,,,,
2026.06.25-16:24:52,13s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,8129,,,,,,
2026.06.25-16:24:55,16s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,40642,,,,,,
2026.06.25-16:24:59,20s,0,PrecisonMode,Manual,,103798,20000,20000ns,1310nm,10,10s,1.467,0.05,4.07,40642,,,,,,
2026.06.25-16:24:39,21s,0,PrecisonMode,Manual,0.0125 usec,103798,20000,20000 ns,1310.0 nm,10,10s,1.467000,0.050 dB,4.070 dB,40642,1,"{'num events': 1, 'event 1': {'type': '119999LS {auto} reflection', 'distance': '0.000', 'slope': '0.000', 'splice loss': '0.000', 'refl loss': '0.000', 'comments': ' ', 'end of prev': '0.000', 'start of curr': '0.000', 'end of curr': '8.174', 'start of next': '10.729', 'peak': '0.000'}, 'Summary': {'total loss': 0.0, 'ORL': 0.0, 'loss start': 0.0, 'loss end': 0.0, 'ORL start': 0.0, 'ORL finish': 0.0}}",None km,0.0,0.0,0.0
